idconf,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
67,Naïve,AND,4,5,10,10,109,8.0,5.0,0,0
67,OnlySelec,AND,4,5,10,10,113,8.0,1.0,0,0
67,ATGT,AND,4,5,10,10,113,8.0,1.0,0,1111
67,Espresso,AND,4,4,9,12,108,10.0,1.0,0,52
67,JBool,AND,4,4,9,12,108,11.0,1.0,0,0
68,Naïve,AND,3,5,9,10,104,8.0,4.0,0,0
68,OnlySelec,AND,3,5,9,10,106,8.0,1.0,0,0
68,ATGT,AND,3,5,9,10,106,8.0,1.0,0,1111
68,Espresso,AND,3,4,8,12,101,10.0,1.0,0,52
68,JBool,AND,3,4,8,9,98,9.0,1.0,0,1
69,Naïve,AND,3,5,9,8,102,6.0,4.0,0,0
69,OnlySelec,AND,3,5,9,8,104,6.0,1.0,0,0
69,ATGT,AND,3,5,9,8,104,6.0,1.0,0,1121
69,Espresso,AND,3,4,8,10,99,8.0,1.0,0,52
69,JBool,AND,3,4,8,10,99,10.0,1.0,0,1
70,Naïve,OR,3,5,12,11,139,12.0,2.0,0,0
70,OnlySelec,OR,3,5,9,7,101,6.0,1.0,0,28
70,ATGT,OR,3,5,8,5,94,4.0,1.0,0,1125
70,Espresso,OR,3,5,9,8,99,7.0,1.0,0,78
70,JBool,OR,3,5,7,5,74,3.0,1.0,0,28
71,Naïve,AND,3,5,9,10,94,8.0,4.0,0,0
71,OnlySelec,AND,3,5,9,10,96,8.0,1.0,0,0
71,ATGT,AND,3,5,9,10,96,8.0,1.0,0,1110
71,Espresso,AND,3,4,8,12,91,10.0,1.0,0,51
71,JBool,AND,3,4,8,9,88,9.0,1.0,0,1
72,Naïve,AND,4,5,10,9,108,7.0,5.0,0,0
72,OnlySelec,AND,4,5,10,9,112,7.0,1.0,0,0
72,ATGT,AND,4,5,10,9,112,7.0,1.0,0,1127
72,Espresso,AND,4,4,9,11,107,9.0,1.0,1,53
72,JBool,AND,4,4,9,11,107,11.0,1.0,0,0
