step,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
195,Espresso,AND,2,0,0,0,0,-1,-1,40547707,51854193,0
196,Espresso,AND,2,0,0,0,0,-1,-1,52747700,52952663,0
197,Espresso,AND,2,0,0,0,0,-1,-1,40307125,53182077,0
198,Espresso,AND,2,0,0,0,0,-1,-1,50941065,52319058,0
199,Espresso,AND,2,0,0,0,0,-1,-1,42076631,51570444,0
200,Espresso,AND,2,0,0,0,0,-1,-1,42125230,53903825,0
201,Espresso,AND,2,0,0,0,0,-1,-1,51372726,52573224,0
202,Espresso,AND,2,0,0,0,0,-1,-1,40803685,52227292,0
203,Espresso,AND,2,0,0,0,0,-1,-1,52538812,53391266,0
204,Espresso,AND,2,0,0,0,0,-1,-1,43188081,52224274,0
205,Espresso,AND,2,0,0,0,0,-1,-1,49095792,52737436,0
206,Espresso,AND,2,0,0,0,0,-1,-1,52026555,52964134,0
207,Espresso,AND,2,0,0,0,0,-1,-1,51573463,52239970,0
208,Espresso,AND,2,0,0,0,0,-1,-1,60093474,54010986,0
209,Espresso,AND,2,0,0,0,0,-1,-1,61679147,52850031,0
210,Espresso,AND,2,0,0,0,0,-1,-1,50219317,52830711,0
211,Espresso,AND,2,0,0,0,0,-1,-1,75860551,54641572,0
212,Espresso,AND,2,0,0,0,0,-1,-1,78956130,53596532,0
213,Espresso,AND,2,0,0,0,0,-1,-1,57645688,53355043,0
214,Espresso,AND,2,0,0,0,0,-1,-1,58128060,52015386,0
215,Espresso,AND,5,0,0,0,0,-1,-1,79238672,54296244,0
216,Espresso,AND,2,0,0,0,0,-1,-1,49614388,53012432,0
217,Espresso,AND,2,0,0,0,0,-1,-1,52011462,53124724,0
218,Espresso,AND,2,0,0,0,0,-1,-1,43185666,53313990,0
219,Espresso,AND,2,0,0,0,0,-1,-1,51536635,53982007,0
220,Espresso,AND,2,0,0,0,0,-1,-1,52687328,54225609,0
221,Espresso,AND,20,0,0,0,0,-1,-1,172155546,52547566,0
222,Espresso,AND,2,0,0,0,0,-1,-1,43053150,52241480,0
223,Espresso,AND,2,0,0,0,0,-1,-1,67617044,52432860,0
224,Espresso,AND,2,0,0,0,0,-1,-1,52571112,52307889,0
225,Espresso,AND,2,0,0,0,0,-1,-1,54152559,52713891,0
226,Espresso,AND,2,0,0,0,0,-1,-1,52684309,53622189,0
227,Espresso,AND,2,0,0,0,0,-1,-1,53577817,52826787,0
228,Espresso,AND,2,0,0,0,0,-1,-1,97819994,53077332,0
229,Espresso,AND,2,0,0,0,0,-1,-1,88273657,52844295,0
230,Espresso,AND,2,0,0,0,0,-1,-1,85211886,51568331,0
231,Espresso,AND,2,0,0,0,0,-1,-1,89163240,54177915,0
232,Espresso,AND,6,0,0,0,0,-1,-1,159210864,52803846,0
233,Espresso,AND,6,0,0,0,0,-1,-1,186752613,51364576,0
234,Espresso,AND,2,0,0,0,0,-1,-1,85900128,52933646,0
235,Espresso,AND,5,0,0,0,0,-1,-1,114791494,52401466,0
236,Espresso,AND,5,0,0,0,0,-1,-1,114655355,52409616,0
237,Espresso,AND,5,0,0,0,0,-1,-1,115897511,53156721,0
238,Espresso,AND,2,0,0,0,0,-1,-1,70500114,52598279,0
239,Espresso,AND,3,0,0,0,0,-1,-1,94618462,53474580,0
240,Espresso,AND,2,0,0,0,0,-1,-1,47431334,53161551,0
241,Espresso,AND,2,0,0,0,0,-1,-1,67994672,52668311,0
242,Espresso,AND,2,0,0,0,0,-1,-1,57472721,53008810,0
243,Espresso,AND,2,0,0,0,0,-1,-1,48359554,53477297,0
244,Espresso,AND,2,0,0,0,0,-1,-1,101128385,52649897,0
245,Espresso,AND,2,0,0,0,0,-1,-1,78891834,52026555,0
246,Espresso,AND,2,0,0,0,0,-1,-1,51998180,52037422,0
247,Espresso,AND,2,0,0,0,0,-1,-1,51792312,52414748,0
248,Espresso,AND,2,0,0,0,0,-1,-1,59930167,53324857,0
249,Espresso,AND,2,0,0,0,0,-1,-1,52553603,51967693,0
250,Espresso,AND,2,0,0,0,0,-1,-1,79860505,52745888,0
251,Espresso,AND,2,0,0,0,0,-1,-1,58154926,53320028,0
252,Espresso,AND,2,0,0,0,0,-1,-1,59088883,52971982,0
253,Espresso,AND,2,0,0,0,0,-1,-1,59798858,53760442,0
254,Espresso,AND,2,0,0,0,0,-1,-1,52352866,53738406,0
255,Espresso,AND,2,0,0,0,0,-1,-1,60011066,53000055,0
256,Espresso,AND,2,0,0,0,0,-1,-1,53234601,52498061,0
257,Espresso,AND,2,0,0,0,0,-1,-1,60341301,51979465,0
258,Espresso,AND,2,0,0,0,0,-1,-1,53336630,54177009,0
259,Espresso,AND,2,0,0,0,0,-1,-1,61533348,53352628,0
260,Espresso,AND,2,0,0,0,0,-1,-1,54059284,54010382,0
261,Espresso,AND,2,0,0,0,0,-1,-1,62083640,53659318,0
