step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
212,onlySelection,OR,36,0.0,14765.0,84,14916,27,38,65
213,onlySelection,OR,36,0.0,14837.0,84,14988,29,41,70
214,onlySelection,OR,36,0.0,14909.0,84,15060,27,40,67
215,onlySelection,OR,37,0.0,14946.0,84,15097,26,16,42
216,onlySelection,OR,37,0.0,14983.0,84,15134,27,17,44
217,onlySelection,OR,37,0.0,15020.0,84,15171,26,17,43
218,onlySelection,OR,37,0.0,15057.0,84,15208,26,16,43
219,onlySelection,OR,37,0.0,15094.0,84,15245,27,17,44
220,onlySelection,OR,37,0.0,15131.0,84,15282,27,18,45
221,onlySelection,OR,36,0.0,15203.0,84,15354,27,36,63
222,onlySelection,OR,37,0.0,15240.0,84,15391,27,19,46
223,onlySelection,OR,37,0.0,15277.0,84,15428,28,20,48
224,onlySelection,OR,37,0.0,15314.0,84,15465,38,19,57
225,onlySelection,OR,36,0.0,15386.0,84,15537,28,38,67
226,onlySelection,OR,36,0.0,15458.0,84,15609,27,38,65
227,onlySelection,OR,36,0.0,15530.0,84,15681,29,49,78
228,onlySelection,OR,36,0.0,15602.0,84,15753,28,40,68
229,onlySelection,OR,36,0.0,15674.0,84,15825,32,44,76
230,onlySelection,OR,38,0.0,15750.0,84,15901,29,46,75
231,onlySelection,OR,36,0.0,15822.0,84,15973,62,41,103
232,onlySelection,OR,38,0.0,15898.0,84,16049,28,41,69
233,onlySelection,OR,38,0.0,15974.0,84,16125,30,42,72
234,onlySelection,OR,38,0.0,16050.0,84,16201,29,44,73
235,onlySelection,OR,38,0.0,16126.0,84,16277,29,43,72
236,onlySelection,OR,38,0.0,16202.0,84,16353,29,44,73
237,onlySelection,OR,36,0.0,16274.0,84,16425,31,47,78
238,onlySelection,OR,36,0.0,16346.0,84,16497,30,46,77
239,onlySelection,OR,36,0.0,16418.0,84,16569,30,46,76
240,onlySelection,OR,36,0.0,16490.0,84,16641,29,48,77
241,onlySelection,OR,36,0.0,16562.0,84,16713,31,48,79
0,Espresso,AND,2,0.0,2.0,76,153,8,247,255
1,Espresso,AND,2,0.0,4.0,77,155,4,299,303
2,Espresso,AND,2,0.0,6.0,78,157,3,227,230
3,Espresso,AND,2,0.0,8.0,79,159,3,224,227
4,Espresso,AND,2,0.0,10.0,80,161,3,224,227
5,Espresso,AND,2,0.0,12.0,81,163,3,224,227
6,Espresso,AND,2,0.0,14.0,82,165,4,223,227
7,Espresso,AND,2,0.0,16.0,83,167,3,229,232
8,Espresso,AND,2,0.0,18.0,84,169,4,227,231
10,Espresso,OR,38,0.0,170.0,84,321,6,447,453
11,Espresso,OR,38,0.0,322.0,84,473,6,452,458
12,Espresso,OR,36,0.0,466.0,84,617,5,463,468
13,Espresso,OR,36,0.0,610.0,84,761,6,473,479
14,Espresso,OR,36,0.0,754.0,84,905,6,503,509
15,Espresso,OR,36,0.0,898.0,84,1049,7,544,551
16,Espresso,OR,36,0.0,1042.0,84,1193,7,503,510
17,Espresso,OR,36,0.0,1186.0,84,1337,8,542,550
18,Espresso,OR,39,0.0,1303.0,84,1454,8,357,365
19,Espresso,OR,39,0.0,1420.0,84,1571,8,333,341
20,Espresso,OR,37,0.0,1531.0,84,1682,7,332,339
21,Espresso,OR,37,0.0,1642.0,84,1793,8,344,352
22,Espresso,OR,37,0.0,1753.0,84,1904,8,354,362
23,Espresso,OR,37,0.0,1864.0,84,2015,7,348,355
24,Espresso,OR,39,0.0,1981.0,84,2132,18,340,358
25,Espresso,OR,37,0.0,2092.0,84,2243,8,338,346
26,Espresso,OR,37,0.0,2203.0,84,2354,13,333,347
27,Espresso,OR,37,0.0,2314.0,84,2465,8,347,355
28,Espresso,OR,37,0.0,2425.0,84,2576,9,331,340
29,Espresso,OR,37,0.0,2536.0,84,2687,9,336,345
30,Espresso,OR,37,0.0,2647.0,84,2798,9,374,383
